ID,Risk/Issue,Stakeholder,Severity,Owner,Mitigation,Status,Resolution Date,Trigger
R1,Political instability / policy reversal,All,Critical,CEO/COO,"Multi-stakeholder MoUs; WB backing; Portable architecture; Election-cycle planning",Active,,
R2,Data access delayed (ZBS, Govt),ZBS / MinAg,High,CLO/BD,"Synthetic data pipeline; Common Voice fallback; Legal escalation; WB convening",Active,,
R3,Chichewa model quality insufficient,All,High,CTO/ML,"Ensemble with English; Human-in-loop fallback; Continuous eval; External audit (DIME)",Active,,
R4,GPU compute cost overrun,Internal,High,CTO/Finance,"Reserved instances; Model distillation (8B->1B); CPU fallback; Budget contingency (20%)",Active,,
R5,Farmer adoption below target,OI / MinAg,High,PM/UX,"Co-design with farmers; Community liaisons; Voice-first UX; Incentives (airtime vouchers)",Active,,
R6,MACRA IVR license delay,MinAg,Moderate,BD/Malawi Liaison,"Early engagement; Legal pre-clearance; USSD fallback; WB policy dialogue",Active,,
R7,Talent acquisition failure (ML engineers),Internal,Moderate,HR/CTO,"Remote-first; Contractor pipeline; University partnerships; Diaspora engagement",Active,,
R8,Partner misalignment (OI, Gooey, Govt),All,Moderate,CSO/COO,"Quarterly steering; Clear JDA scopes; Exit clauses; WB mediation",Active,,
R9,Safety incident (bad agricultural advice),All,High,AI Safety,"Constitutional AI guardrails; Red teaming monthly; Insurance; 24hr incident response",Active,,
R10,Traditional knowledge / IP disputes,ZBS / Community,Moderate,CLO,"Community consent framework; Benefit sharing; WIPO guidelines; Legal review",Active,,
R11,Technical debt / platform fragility,Internal,Moderate,CTO,"Architecture reviews monthly; Tech debt sprints quarterly; Observability (Grafana/Jaeger)",Active,,
R12,Grant funding delays / conditions,WB,Moderate,CFO/CEO,"Diversified funding; Internal runway 18mo; Flexible scope; Bridge financing plan",Active,,
R13,Team burnout / coordination overhead,Internal,Moderate,COO/HR,"Clear rituals; Malawi hub; Quarterly in-person; Reasonable scope (no scope creep)",Active,,
R14,Currency volatility (MWK/USD),All,Moderate,CFO,"USD-denominated contracts; Local cost base; Hedge if >$500k exposure",Active,,
R15,Competitive response (Big Tech launches Chichewa),All,Moderate,CSO/CTO,"Speed to market (90-day pilot); Platform moat (orchestration); Local partnerships",Active,,
