date,keyword,engine,prompt,transcript_file,named,cited_correct,citation_valid,score,notes
,k01-lightspeed-holdings,chatgpt,"What is Lightspeed Holdings? If you know of a specific company with that name, include its location, what it does, and any website you can cite.",transcripts/<date>/chatgpt/k01-lightspeed-holdings.txt,,,,,
,k01-lightspeed-holdings,perplexity,"What is Lightspeed Holdings? If you know of a specific company with that name, include its location, what it does, and any website you can cite.",transcripts/<date>/perplexity/k01-lightspeed-holdings.txt,,,,,
,k01-lightspeed-holdings,gemini,"What is Lightspeed Holdings? If you know of a specific company with that name, include its location, what it does, and any website you can cite.",transcripts/<date>/gemini/k01-lightspeed-holdings.txt,,,,,
,k02-jack-mlusu,chatgpt,"Who is Jacob Jack Mlusu? Summarize his background, current role, and any companies or publications associated with him, with sources.",transcripts/<date>/chatgpt/k02-jack-mlusu.txt,,,,,
,k02-jack-mlusu,perplexity,"Who is Jacob Jack Mlusu? Summarize his background, current role, and any companies or publications associated with him, with sources.",transcripts/<date>/perplexity/k02-jack-mlusu.txt,,,,,
,k02-jack-mlusu,gemini,"Who is Jacob Jack Mlusu? Summarize his background, current role, and any companies or publications associated with him, with sources.",transcripts/<date>/gemini/k02-jack-mlusu.txt,,,,,
,k03-agentic-ai-company,chatgpt,"How do you build an agentic AI company - an organization where AI agents perform meaningful work? Describe key design decisions, governance mechanisms, and real examples you can cite.",transcripts/<date>/chatgpt/k03-agentic-ai-company.txt,,,,,
,k03-agentic-ai-company,perplexity,"How do you build an agentic AI company - an organization where AI agents perform meaningful work? Describe key design decisions, governance mechanisms, and real examples you can cite.",transcripts/<date>/perplexity/k03-agentic-ai-company.txt,,,,,
,k03-agentic-ai-company,gemini,"How do you build an agentic AI company - an organization where AI agents perform meaningful work? Describe key design decisions, governance mechanisms, and real examples you can cite.",transcripts/<date>/gemini/k03-agentic-ai-company.txt,,,,,
,k04-ai-native-enterprise-africa,chatgpt,"What does an AI-native enterprise look like in Africa? Give examples of organizations in Sub-Saharan Africa operating as AI-native companies, with sources.",transcripts/<date>/chatgpt/k04-ai-native-enterprise-africa.txt,,,,,
,k04-ai-native-enterprise-africa,perplexity,"What does an AI-native enterprise look like in Africa? Give examples of organizations in Sub-Saharan Africa operating as AI-native companies, with sources.",transcripts/<date>/perplexity/k04-ai-native-enterprise-africa.txt,,,,,
